City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,batemans bay,-35.72,150.18,37.99,100,0,4.0,AU,1594235322
324,sivas,39.79,37.0,62.6,72,75,6.93,TR,1594235253
325,lorengau,-2.02,147.27,81.27,81,100,11.36,PG,1594235322
326,lithakia,37.72,20.83,80.6,44,0,6.93,GR,1594235323
327,robinson,31.47,-97.11,93.2,52,40,8.05,US,1594235323
328,barcelos,41.54,-8.62,72.0,82,40,4.7,PT,1594235323
329,saint anthony,45.02,-93.22,90.0,52,1,14.99,US,1594235259
330,doha,25.29,51.53,95.0,84,0,4.7,QA,1594235086
331,pinega,64.7,43.39,66.02,94,100,10.6,RU,1594235324
332,gardner,42.58,-72.0,84.2,62,20,6.93,US,1594235324
333,katherine,-14.47,132.27,60.8,51,0,8.05,AU,1594235324
334,husavik,66.04,-17.34,59.0,51,64,16.11,IS,1594235324
335,broome,42.25,-75.83,90.0,58,20,5.82,US,1594235325
336,porbandar,21.64,69.61,83.23,82,36,17.09,IN,1594235325
337,champerico,14.3,-91.92,91.4,55,75,6.93,GT,1594235325
338,mayya,61.73,130.28,50.0,87,29,4.47,RU,1594235326
339,anchorage,61.22,-149.9,55.99,87,90,5.32,US,1594235179
340,tefe,-3.35,-64.71,87.8,66,40,3.36,BR,1594235326
341,sulechow,52.08,15.63,59.0,87,12,4.7,PL,1594235326
342,aripuana,-9.17,-60.63,95.81,28,0,1.45,BR,1594235104
343,bredasdorp,-34.53,20.04,50.0,87,100,3.36,ZA,1594235326
344,keti bandar,24.14,67.45,85.89,82,100,17.18,PK,1594235327
345,penzance,50.12,-5.54,63.0,93,100,12.75,GB,1594235327
346,ixtapa,20.7,-105.2,89.01,62,75,8.05,MX,1594235296
347,luena,-11.78,19.92,57.04,37,0,2.26,AO,1594235327
348,maceio,-9.67,-35.74,82.4,74,40,9.17,BR,1594235327
349,mineral wells,32.81,-98.11,95.0,53,20,6.93,US,1594235328
350,makakilo city,21.35,-158.09,82.0,65,1,4.7,US,1594235328
351,isla vista,34.41,-119.86,80.01,64,1,6.93,US,1594235083
352,sibolga,1.74,98.78,75.79,84,100,4.38,ID,1594235328
353,nuuk,64.18,-51.72,53.6,58,90,20.8,GL,1594235275
354,pringsewu,-5.36,104.97,73.53,94,100,2.33,ID,1594235328
355,rapid valley,44.06,-103.15,80.01,34,1,11.41,US,1594235329
356,sabzevar,36.21,57.68,79.93,16,0,10.87,IR,1594235226
357,rantepao,-2.97,119.9,65.43,89,88,1.48,ID,1594235329
358,basoko,1.24,23.62,76.33,79,100,0.96,CD,1594235329
359,iranshahr,27.2,60.68,98.6,25,94,13.87,IR,1594235330
360,yichun,47.7,128.9,52.84,97,0,1.9,CN,1594235330
361,komsomolskiy,40.43,71.72,84.2,25,90,4.7,UZ,1594235330
362,korce,40.62,20.78,71.6,53,28,3.33,AL,1594235330
363,tessalit,20.2,1.01,97.05,9,0,6.49,ML,1594235330
364,tateyama,34.98,139.87,75.99,100,100,5.01,JP,1594235330
365,tabuk,17.42,121.44,75.42,85,99,2.42,PH,1594235331
366,pacific grove,36.62,-121.92,73.0,68,1,10.29,US,1594235161
367,pangai,-19.8,-174.35,71.6,94,75,10.29,TO,1594235331
368,tual,-5.67,132.75,78.98,82,100,21.99,ID,1594235108
369,sechura,-5.56,-80.82,75.07,53,3,12.86,PE,1594235332
370,calvinia,-31.47,19.78,56.95,33,8,7.43,ZA,1594235332
371,antofagasta,-23.65,-70.4,60.8,72,0,13.87,CL,1594235332
372,alice springs,-23.7,133.88,41.0,52,98,5.79,AU,1594235079
373,tataranu,45.52,27.32,71.6,64,40,6.93,RO,1594235332
374,ladnun,27.65,74.38,91.24,55,65,17.09,IN,1594235332
375,truro,50.27,-5.05,63.0,93,100,16.11,GB,1594235333
